"projection_system","projection_type","season","playerid","name","team","ab","pa","h","r","hr","rbi","sb","avg"
"oopsy","oopsy",2026,19292,"Armando Alvarez",,1,1,0,0,0,0,0,0.232158
"oopsy","oopsy",2026,19293,"Nick Senzel","LAD",1,1,0,0,0,0,0,0.215627
"oopsy","oopsy",2026,19294,"Nick Solak","SDP",1,1,0,0,0,0,0,0.240038
"oopsy","oopsy",2026,19296,"Alex Call","LAD",121,140,27,16,3,15,2,0.226893
"oopsy","oopsy",2026,19314,"Donovan Walton","LAA",1,1,0,0,0,0,0,0.225629
"oopsy","oopsy",2026,19318,"Matt Thaiss","BOS",6,6,1,1,0,1,0,0.230383
"oopsy","oopsy",2026,19326,"Bryan Reynolds","PIT",574,644,144,80,21,76,6,0.250542
"oopsy","oopsy",2026,19331,"Jose Rojas","NYM",1,1,0,0,0,0,0,0.222859
"oopsy","oopsy",2026,19339,"Nicky Lopez","COL",6,7,2,1,0,0,0,0.251332
"oopsy","oopsy",2026,19346,"Eli White","ATL",57,63,13,7,2,7,3,0.23423
"oopsy","oopsy",2026,19352,"Sean Murphy","ATL",304,348,70,42,14,45,1,0.230517
"oopsy","oopsy",2026,19354,"Luke Raley","SEA",278,315,64,38,11,38,5,0.231576
"oopsy","oopsy",2026,19358,"Weston Wilson","BAL",1,1,0,0,0,0,0,0.223868
"oopsy","oopsy",2026,19363,"Austin Hays","CHW",439,483,108,56,15,57,6,0.245886
"oopsy","oopsy",2026,19384,"Trenton Brooks",,1,1,0,0,0,0,0,0.217269
"oopsy","oopsy",2026,19392,"Zach McKinstry","DET",418,469,100,63,10,45,16,0.23793
"oopsy","oopsy",2026,19422,"Brian Serven","ATH",1,1,0,0,0,0,0,0.20503
"oopsy","oopsy",2026,19432,"Yonny Hernández","NYM",1,1,0,0,0,0,0,0.226904
"oopsy","oopsy",2026,19452,"Jake Rogers","DET",161,179,35,20,6,20,1,0.220217
"oopsy","oopsy",2026,19455,"Andruw Monasterio","BOS",87,98,21,10,2,9,3,0.239754
"oopsy","oopsy",2026,19458,"Cooper Hummel",,1,1,0,0,0,0,0,0.220882
"oopsy","oopsy",2026,19470,"Tommy Edman","LAD",458,504,108,56,12,53,11,0.236263
"oopsy","oopsy",2026,19477,"Alex De Goti",,1,1,0,0,0,0,0,0.196399
"oopsy","oopsy",2026,19514,"Andrew Knizner","SEA",68,77,15,8,1,7,0,0.219322
