"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Bradish, Kyle","680694","22.2","22.7","","31.2","6.6","17.3","","","",""
"Flaherty, Jack","656427","41.3","2.5","8.3","25.3","3.2","19.4","","","",""
"Williams, Trevor","592866","43.1","14.8","","15.5","17.0","6.9","","","2.8",""
"Sandoval, Patrick","663776","25.2","11.4","","26.1","25.8","9.0","","","2.6",""
"Bello, Brayan","678394","20.6","36.3","1.5","11.8","23.9","","","","5.9",""
"Singer, Brady","663903","1.6","49.5","","42.0","6.3","","","","0.5",""
"Heaney, Andrew","571760","57.8","0.0","","25.0","16.9","0.2","","","",""
"Verlander, Justin","434378","50.0","","","25.3","4.7","20.0","","","",""
"Detmers, Reid","672282","38.1","5.1","","30.9","5.4","19.4","","","1.1",""
"Eflin, Zach","621107","5.8","32.3","26.1","0.3","5.1","26.3","","","4.1",""
"Waldichuk, Ken","686610","54.3","0.0","","","16.6","2.0","","","27.1",""
"Taillon, Jameson","592791","35.3","9.6","21.8","0.4","3.0","14.8","","","15.1",""
"Hill, Rich","448179","34.0","4.2","14.7","1.9","2.2","36.1","","","6.9",""
"Cobb, Alex","502171","0.5","39.4","","5.1","","16.2","38.7","","",""
"Garrett, Braxton","666129","7.5","31.7","","17.7","8.8","8.3","","","25.9",""
"Scherzer, Max","453286","46.3","","10.4","16.8","14.1","12.4","","","",""
"Gore, MacKenzie","669022","59.5","","","18.7","2.9","18.4","","","0.5",""
"Anderson, Tyler","542881","37.4","5.6","22.1","0.8","33.9","0.2","","","",""
"Kopech, Michael","656629","61.6","","0.0","27.7","6.8","3.9","","","",""
"Freeland, Kyle","607536","18.2","27.9","23.6","","12.7","17.6","","","",""
"Smyly, Drew","592767","0.2","38.5","11.9","","","49.4","","","",""
"Gray, Jon","592351","42.2","0.2","","33.5","11.6","6.2","","","6.4",""
"Pivetta, Nick","601713","50.6","","7.8","11.1","","24.7","0.5","","5.4",""
"Lugo, Seth","607625","31.7","19.9","0.2","8.6","5.6","28.7","0.3","","2.2","2.9"
"Rodriguez, Eduardo","593958","45.3","9.5","19.1","7.2","18.9","","","","",""
"Lorenzen, Michael","547179","34.5","12.2","1.5","22.7","21.6","1.1","","","6.4",""
"Nelson, Ryne","669194","54.5","0.0","13.0","11.0","13.3","5.2","","","3.0",""
"Ober, Bailey","641927","45.7","","","2.4","28.0","6.7","","","17.1",""
"Bibee, Tanner","676440","46.9","0.1","27.0","","16.6","9.3","","","",""
"Ashcraft, Graham","668933","0.1","9.6","53.0","37.3","0.0","","","","",""
"Weaver, Luke","596133","41.7","1.8","11.0","10.5","20.0","11.8","","","3.1",""
"Megill, Tylor","656731","55.6","0.6","","20.7","14.0","8.6","0.5","","",""
"Eovaldi, Nathan","543135","37.2","0.0","17.6","4.1","","13.5","27.6","","",""
"Pérez, Martín","527048","5.0","41.8","22.0","1.0","26.5","3.7","","","",""
"Wacha, Michael","608379","28.7","13.3","12.2","0.3","34.5","11.0","","","",""
"Greinke, Zack","425844","26.7","15.6","7.0","20.0","16.5","14.1","","","",""
"Darvish, Yu","506433","16.7","18.6","8.9","17.7","0.1","11.7","7.7","","18.6",""
"Stroman, Marcus","573186","8.3","46.4","9.6","5.1","","","7.6","","","23.0"
"France, J.P.","641585","42.7","0.0","19.3","","15.2","13.7","","","9.1",""
"Gomber, Austin","596295","44.7","0.4","","20.1","18.1","16.8","","","",""
"Irvin, Jake","663623","36.1","28.1","","","5.2","30.6","","","",""
"Allen, Logan","671106","45.0","0.0","9.0","2.4","21.3","","","","22.3",""
"Hendricks, Kyle","543294","20.5","34.9","","","41.1","3.5","","","",""
"Rodriguez, Grayson","680570","49.6","","4.4","1.2","22.4","8.1","","","14.4",""
"Clevinger, Mike","605182","47.3","3.0","8.2","","12.8","1.6","","","27.1",""
"Crawford, Kutter","676710","39.2","0.0","28.2","6.3","","11.9","7.7","","6.7",""
"Miller, Bryce","682243","58.1","7.6","0.5","18.9","5.3","0.9","0.3","","8.5",""
"Ohtani, Shohei","660271","32.9","6.5","12.2","3.9","","3.7","5.8","","35.0",""
"Greene, Hunter","668881","54.6","","","40.2","4.9","0.1","0.3","","",""
"Canning, Griffin","656288","34.7","0.7","","29.9","21.3","13.4","","","",""
"Manaea, Sean","640455","13.9","43.0","0.0","13.9","17.0","","","","12.0",""
"Kershaw, Clayton","477132","36.8","0.2","","43.4","1.6","17.5","0.3","","",""
"Suarez, Ranger","624133","21.4","28.2","12.7","0.4","18.3","19.0","","","",""
"Rea, Colin","607067","19.1","30.1","26.4","","5.6","7.9","","","11.0",""
"Civale, Aaron","650644","12.4","18.5","37.2","5.8","","24.4","1.7","","0.1",""
"Peterson, David","656849","27.5","25.0","","19.8","18.9","8.8","","","",""
"Miller, Bobby","676272","25.4","22.7","","16.7","16.0","18.5","","","0.7",""
"Bieber, Shane","669456","35.2","","27.0","20.8","3.5","13.6","","","",""
"Medina, Luis","665622","41.4","14.4","","23.4","8.7","12.1","","","",""
"Williamson, Brandon","682227","37.1","0.1","29.8","0.8","16.5","6.3","","","9.4",""
"Wentz, Joey","666214","41.6","","25.1","","17.5","15.8","","","",""
"Wells, Tyler","669330","37.7","","19.7","16.3","18.5","7.8","","","",""
"Abbott, Andrew","671096","49.8","0.2","","","16.4","17.1","","","16.5",""
"Glasnow, Tyler","607192","43.6","","","34.8","0.3","21.3","","","",""
"Blackburn, Paul","621112","14.6","24.0","20.4","","11.2","11.7","","","18.1",""
"Miley, Wade","489119","19.4","4.6","44.3","4.9","24.6","2.2","","","",""
"Matz, Steven","571927","","56.1","","1.8","27.4","14.8","","","",""
"Houser, Adrian","605288","23.9","47.0","","16.6","4.0","8.5","","","",""
"Urías, Julio","628711","45.0","0.1","9.2","","15.7","","","","","30.0"
"McClanahan, Shane","663556","41.8","0.1","","15.2","25.8","17.1","","","",""
"Bradley, Taj","671737","44.9","0.1","24.8","","","16.7","13.6","","",""
"Cabrera, Edward","665795","27.4","9.8","","8.0","31.4","23.4","","","",""
"Wainwright, Adam","425794","10.0","31.4","22.6","0.3","5.0","30.8","","","",""
"Flexen, Chris","623167","41.0","1.9","29.2","6.7","16.0","2.3","","","3.0",""
"Martinez, Nick","607259","13.5","21.9","16.3","0.2","28.8","19.1","","","",""
"Olson, Reese","681857","29.7","18.7","","30.6","15.1","5.8","","","",""
"Houck, Tanner","656557","10.2","29.3","11.0","37.2","","","11.4","","0.9",""
"Assad, Javier","665871","19.6","30.6","27.3","3.0","4.0","5.0","","","10.5",""
"Quantrill, Cal","615698","16.0","26.5","24.1","","10.1","10.9","12.3","","",""
"Wood, Alex","622072","0.1","44.5","","26.1","29.3","","","","",""
"Maeda, Kenta","628317","27.0","6.8","","22.1","","3.6","31.9","","8.5",""
"Paxton, James","572020","53.7","3.6","16.3","","6.7","19.7","","","",""
"Manoah, Alek","666201","29.0","28.1","","30.0","13.0","","","","",""
"King, Michael","650633","23.3","32.9","","","14.5","","","","29.3",""
"Sale, Chris","519242","43.2","6.2","","37.5","13.1","","","","",""
"Gonsolin, Tony","664062","39.4","0.1","","18.3","","15.1","27.2","","",""
"Germán, Domingo","593334","27.7","10.8","","","20.6","40.9","","","",""
"Severino, Luis","622663","43.5","4.3","14.9","17.8","18.5","","","","1.0",""
"Pfaadt, Brandon","694297","45.2","10.1","","","12.2","5.5","","","27.0",""
"Toussaint, Touki","657053","23.6","26.5","","2.3","","28.8","18.8","","",""
"Carrasco, Carlos","471911","31.8","10.6","0.4","18.4","29.8","8.8","","","0.3",""
"Ragans, Cole","666142","40.1","","13.4","10.4","23.7","12.4","","","",""
"Seabold, Connor","657756","53.7","0.7","","30.5","13.3","1.8","","","",""
"Musgrove, Joe","605397","24.6","5.3","20.4","14.4","11.4","23.9","","","0.1",""
"DeSclafani, Anthony","543101","14.0","26.3","","44.8","9.8","5.1","","","",""
"Pérez, Eury","691587","45.4","","","30.8","9.8","14.0","","","",""
"Davies, Zach","605200","25.4","29.7","11.3","1.9","24.7","6.2","","","0.8",""
"Curry, Xzavion","675540","48.4","","","36.1","3.9","11.6","","","0.1",""
"Wesneski, Hayden","669713","28.9","19.6","10.3","0.3","4.9","","","","36.0",""
"Ortiz, Luis","682847","25.3","28.1","0.3","32.7","13.7","","","","",""
"Sánchez, Cristopher","650911","0.1","46.0","","21.1","32.8","","","","",""
"Muller, Kyle","666205","51.5","","","25.3","8.3","14.9","","","",""
"Stripling, Ross","548389","26.5","9.0","1.9","27.4","24.4","9.9","0.9","","",""
"Lambert, Peter","663567","44.6","","","21.2","20.0","3.2","","","11.1",""
"Woo, Bryan","693433","46.9","25.5","","15.1","3.7","","","","8.8",""
"Scholtens, Jesse","669947","43.4","","","36.6","3.0","16.5","0.6","","",""
"Anderson, Chase","502624","24.6","13.9","26.3","0.3","22.9","4.1","","","7.8",""
"Brito, Jhony","666745","16.5","32.7","","1.7","29.0","10.4","","","9.7",""
"Yarbrough, Ryan","642232","30.9","","24.8","","18.3","","","","26.1",""
"Fujinami, Shintaro","660261","56.5","0.1","16.2","1.2","","0.1","19.8","","6.1",""
"Syndergaard, Noah","592789","18.0","26.1","12.5","6.8","22.2","14.1","0.3","","",""
"Henry, Tommy","674072","48.9","0.1","","12.6","19.3","19.1","","","",""
"Bird, Jake","656234","0.2","59.2","13.2","7.1","0.2","20.0","","","0.1",""
"Junis, Jakob","596001","1.1","26.5","","1.4","9.9","","","","61.1",""
"Bielak, Brandon","656232","30.6","21.6","","","24.8","11.1","","","11.9",""
"Williams, Gavin","668909","55.4","","","22.1","5.6","17.0","","","",""
"Lively, Ben","594902","32.6","21.5","4.8","1.2","10.2","6.6","","","23.1",""
"Winckowski, Josh","670174","5.1","38.1","31.6","20.1","5.1","","","","",""
"Strahm, Matt","621381","45.1","18.8","9.3","26.4","0.4","","","","",""
"Stratton, Chris","608717","54.3","0.4","","19.3","7.1","18.6","","","0.1",""
"Richards, Trevor","670950","43.4","","","0.5","56.1","","","","",""
"Barria, Jaime","642545","30.2","5.0","","50.7","14.1","","","","",""
"Chirinos, Yonny","630023","1.4","47.2","","25.8","","","25.6","","",""
"Marsh, Alec","679525","37.3","7.2","","9.8","14.9","14.9","","","15.9",""
"Littell, Zack","641793","31.1","10.2","","32.1","","","19.2","","7.4",""
"Hudson, Dakota","641712","22.3","37.6","0.5","32.0","2.4","5.2","","","",""
"Brash, Matt","666374","33.7","3.0","3.9","51.0","0.1","8.4","","","",""
"Beck, Tristan","663941","36.6","0.1","","33.1","0.4","7.9","","","22.0",""
"Falter, Bailey","663559","45.3","6.3","","18.9","4.6","22.5","2.4","","",""
"Tonkin, Michael","543859","61.2","","","37.3","","","","","1.6",""
"Irvin, Cole","608344","25.8","22.8","15.8","","21.2","0.2","","","","14.2"
"Blach, Ty","621389","0.4","54.6","16.5","","22.1","6.4","","","",""
"Montero, Rafael","606160","49.2","14.7","","14.0","22.1","","","","",""
"Hernández, Carlos","672578","55.9","0.1","","23.7","","9.2","11.2","","",""
"Fried, Max","608331","32.1","12.9","4.4","6.4","16.5","23.1","","","4.7",""
"McGough, Scott","543518","50.6","0.5","","9.4","","","39.5","","",""
"Bickford, Phil","641360","71.0","0.1","","26.9","2.0","","","","",""
"Quintana, Jose","500779","24.5","32.1","","","18.1","20.4","","","","4.9"
"Merryweather, Julian","657240","40.8","0.1","","49.2","7.5","","","","2.4",""
"Farmer, Buck","571656","42.8","0.4","","33.9","22.9","","","","",""
"Skubal, Tarik","669373","36.0","12.1","","20.7","24.1","6.8","0.2","","",""
"Gibaut, Ian","664139","44.1","","27.0","","8.1","","","","20.8",""
"Abreu, Bryan","650556","41.0","0.2","","58.7","","0.1","","","",""
"Scott, Tanner","656945","47.3","0.1","","52.6","","","","","",""
"López, Reynaldo","625643","63.9","0.4","","29.4","5.4","0.9","","","",""
"Barlow, Scott","605130","21.4","7.9","","25.9","","33.6","","","11.2",""
"Whitlock, Garrett","676477","5.4","47.5","","0.2","24.1","","","","22.8",""
"Holton, Tyler","663947","27.9","12.3","19.4","","22.5","3.6","","","14.2",""
"Morgan, Eli","669212","40.4","","","25.4","31.7","2.5","","","",""
"Lawrence, Justin","664875","","51.3","","","","","","","48.7",""
"Manning, Matt","666159","47.6","","","","3.6","17.3","","","31.6",""
"Boyd, Matthew","571510","38.5","7.0","","28.4","18.7","7.4","","","",""
"Cuas, Jose","621016","19.9","49.4","","19.6","4.1","","","","7.0",""
"Thompson, Zack","668868","53.7","","","17.0","2.1","27.3","","","",""
"Díaz, Alexis","664747","48.3","0.3","","51.5","","","","","",""
"Wilson, Bryse","669060","16.6","34.7","34.5","","0.7","13.4","0.1","","",""
"Lange, Alex","656638","4.6","26.7","","58.5","10.2","","","","",""
"Grove, Michael","675627","31.9","5.0","6.7","39.0","0.3","17.0","","","",""
"Contreras, Roansy","672710","40.2","","","43.4","3.9","11.7","","","0.9",""
"Pallante, Andre","669467","66.1","2.9","","17.6","","13.4","","","",""
"Doval, Camilo","666808","0.3","29.8","33.7","36.2","","","","","",""
"Rodón, Carlos","607074","60.3","","0.1","28.9","4.3","6.4","","","",""
"Suter, Brent","608718","30.6","30.4","","10.8","28.3","","","","",""
"Stephan, Trevor","663986","47.7","","","24.1","","","28.1","","",""
"Estévez, Carlos","608032","66.3","0.5","","26.6","6.2","0.4","","","",""
"Rogers, Tyler","643511","1.0","50.2","","48.8","","","","","",""
"Hoeing, Bryan","663773","9.1","52.5","","31.8","2.3","","4.4","","",""
"Kimbrel, Craig","518886","67.2","","","","","31.8","","","1.0",""
"Payamps, Joel","606303","20.5","23.4","","14.6","12.3","","","","29.2",""
"Clase, Emmanuel","661403","0.1","0.4","67.5","32.0","","","","","",""
"Cruz, Fernando","518585","35.0","0.6","23.9","4.6","","","35.9","","",""
"Graveman, Kendall","608665","22.5","39.4","","26.8","9.1","2.2","","","",""
"Hicks, Jordan","663855","10.9","64.2","","3.5","","","1.6","","19.9",""
"Harris, Hogan","663687","46.9","","18.9","","20.3","3.3","","","10.6",""
"Finnegan, Kyle","640448","69.9","0.1","","5.0","","","25.0","","",""
"Bednar, David","670280","57.9","0.1","","","","25.4","16.6","","",""
"García, Yimi","554340","33.6","15.4","","10.5","7.3","32.8","","","0.4",""
"Bummer, Aaron","607481","6.5","44.4","10.6","","0.5","","","","38.0",""
"Urquidy, José","664353","38.1","9.9","","","21.6","11.6","","","18.7",""
"Neris, Héctor","593576","51.9","15.4","","3.9","","","28.8","","",""
"Varland, Louis","686973","42.6","1.0","","32.0","11.3","","","","13.1",""
"Kaprielian, James","621076","41.3","14.1","0.2","30.3","8.0","6.1","","","",""
"Johnson, Pierce","572955","35.2","","","8.0","","56.7","","","",""
"Smith, Drew","622098","61.2","0.1","0.1","20.8","9.3","8.5","","","",""
"Teheran, Julio","527054","9.4","38.7","28.7","","11.8","11.5","","","",""
"Walker, Ryan","676254","1.1","48.5","","50.4","","","","","",""
"Weathers, Ryan","677960","53.7","2.5","","","23.5","","","","20.3",""
"Baumann, Mike","657508","51.4","","","20.8","2.4","25.4","","","",""
"Cortes, Nestor","641482","52.4","0.1","28.8","2.0","2.8","","","","13.9",""
"Robertson, David","502085","","0.1","53.4","19.9","1.4","25.2","","","",""
"Clarke, Taylor","664199","29.0","","","37.0","15.4","","","","18.6",""
"Kelly, Kevin","687330","1.4","47.8","9.8","","","","","","40.9",""
"Ferguson, Caleb","657571","66.4","0.1","30.0","","","","","","2.5","0.9"
"Minter, A.J.","621345","47.2","","38.9","","13.9","","","","",""
"Pagán, Emilio","641941","55.0","","30.1","","","2.5","12.3","","",""
"Swanson, Erik","657024","34.7","","","17.8","","","47.5","","",""
"Liberatore, Matthew","669461","36.7","19.9","0.1","12.7","8.1","22.4","","","",""
"Yates, Kirby","489446","53.9","","","0.2","","","44.6","","1.3",""
"Sims, Lucas","608371","43.4","0.2","","1.5","","5.9","","","49.1",""
"Leiter Jr., Mark","643410","8.6","27.7","20.5","","","9.1","34.2","","",""
"Ginkel, Kevin","656464","46.0","11.0","","43.0","","","","","",""
"Erceg, Lucas","668674","27.3","31.4","4.5","14.7","22.1","","","","",""
"De Los Santos, Enyel","660853","60.5","","","30.4","9.1","","","","",""
"Foley, Jason","671345","0.3","69.0","","17.4","13.4","","","","",""
"Santos, Gregory","666619","0.3","45.8","","52.6","1.2","","","","",""
"Jax, Griffin","643377","22.5","12.9","2.9","","8.9","0.1","","","52.7",""
"Topa, Justin","623437","","44.6","18.5","","6.8","","","","30.0",""
"Abreu, Albert","656061","5.9","51.6","","28.1","14.4","","","","",""
"Woodruff, Brandon","605540","41.2","21.8","","9.8","19.7","7.6","","","",""
"VerHagen, Drew","572403","27.3","17.9","12.6","","11.2","","","","31.1",""
"Hader, Josh","623352","","73.4","","23.2","3.4","","","","",""
"Maton, Phil","664208","","4.1","32.1","","","40.4","","","23.4",""
"Sewald, Paul","623149","56.9","0.3","","","","","","","42.8",""
"Faedo, Alex","656412","48.5","","","38.1","13.3","","","","",""
"Sheehan, Emmet","686218","59.9","0.1","","18.9","17.2","","","","3.9",""
"Milner, Hoby","571948","18.6","31.0","","","17.3","","","","33.1",""
"Moll, Sam","594580","25.9","34.9","","","1.4","","","","37.9",""
"Holmes, Clay","605280","0.2","69.3","","20.9","","","","","9.6",""
"Ottavino, Adam","493603","5.6","37.7","15.0","0.1","13.9","","","","27.7",""
"Pressly, Ryan","519151","23.1","0.2","1.2","40.0","8.9","26.6","","","",""
"Okert, Steven","595345","38.6","0.1","","61.3","","","","","",""
"McHugh, Collin","543521","3.9","","45.8","","0.4","2.0","","","47.9",""
"Duran, Jhoan","661395","45.1","","","","","27.7","27.1","","",""
"Cano, Yennier","666974","3.3","55.3","","13.5","27.9","","","","",""
"Brazobán, Huascar","623211","16.6","22.3","32.7","","28.4","","","","",""
"García, Luis","472610","11.1","46.2","","0.5","","","8.1","","34.1",""
"Chapman, Aroldis","547973","47.5","16.5","","29.0","","","7.0","","",""
"Castro, Miguel","612434","3.8","39.1","","41.7","15.5","","","","",""
"Banks, Tanner","621383","35.3","2.9","","30.4","16.5","","","","15.0",""
"Sandlin, Nick","680704","26.5","19.5","","49.7","","","4.4","","",""
"Jackson, Andre","656578","44.6","","","17.0","32.0","6.5","","","",""
"Diekman, Jake","518617","31.5","32.3","3.6","","14.7","","","","17.9",""
"Kluber, Corey","446372","2.0","26.6","27.4","","15.9","28.2","","","",""
"Bautista, Félix","642585","","70.4","","4.8","","","24.8","","",""
"Cisnero, José","542585","37.6","20.5","12.3","19.8","9.8","","","","",""
"Raley, Brooks","548384","0.7","24.9","23.0","","15.1","","","","36.3",""
"Hamilton, Ian","641656","22.2","23.6","","54.2","","","","","",""
"Leclerc, José","600917","35.9","3.2","16.0","31.6","13.3","","","","",""
"Gott, Trevor","641627","22.1","27.7","39.0","","4.1","7.1","","","",""
"Bradford, Cody","674003","54.5","","13.3","4.4","27.7","","","","",""
"Hand, Brad","543272","32.4","17.8","","","","","","","49.8",""
"Soto, Gregory","642397","17.7","43.1","","39.0","0.2","","","","",""
"López, Jorge","605347","15.9","34.4","","16.3","11.6","21.8","","","",""
"Harvey, Hunter","640451","60.0","","","13.9","","7.4","18.7","","",""
"Ramírez, Erasmo","541640","4.7","29.3","43.7","5.4","7.7","8.1","","","1.1",""
"Moreta, Dauri","664294","26.4","","","64.8","8.8","","","","",""
"Alzolay, Adbert","640470","20.0","20.1","8.4","46.6","0.5","","","","4.4",""
"Floro, Dylan","571670","32.6","33.4","","22.2","11.9","","","","",""
"Law, Derek","571882","19.4","11.7","35.6","18.1","4.8","10.4","","","",""
"Nardi, Andrew","677053","61.3","","","","0.9","","","","37.8",""
"Englert, Mason","669438","30.3","","","35.6","26.7","0.7","","","","6.7"
"Fulmer, Michael","605242","28.5","11.2","22.0","","7.7","0.1","","","30.5",""
"Puk, A.J.","640462","51.2","4.9","","1.2","0.8","","0.4","","41.5",""
"Williams, Devin","642207","39.0","","3.1","","57.9","","","","",""
"Cabrera, Génesis","650893","35.7","14.7","32.1","","4.1","13.3","","","",""
"Martinez, Adrián","661309","58.0","1.2","","17.4","23.4","","","","",""
"Honeywell, Brent","641703","45.3","2.2","","0.5","26.6","","","","17.5",""
"Bido, Osvaldo","674370","27.8","23.6","2.4","36.3","9.9","","","","",""
"Wilson, Steven","621051","36.4","","0.9","","3.2","","","","59.6",""
"Jiménez, Joe","641729","62.2","","","30.7","7.1","","","","",""
"Bard, Daniel","453268","9.5","41.6","","45.3","0.2","","","","","3.3"
"Holderman, Colin","670059","0.1","50.0","20.3","","","","","","29.6",""
"Graterol, Brusdar","660813","10.5","43.4","21.7","24.3","","","","","",""
"Webb, Jacob","657097","48.9","","","","27.6","","","","23.5",""
"Poche, Colin","621363","65.0","","","35.0","","","","","",""
"Adon, Joan","672851","40.6","12.6","","11.3","15.2","20.5","","","",""
"Chafin, Andrew","605177","20.8","43.2","","35.1","0.9","","","","",""
"Weems, Jordan","607179","48.0","","","43.4","","0.7","7.9","","",""
"Phillips, Evan","623465","20.0","10.7","23.8","","","","","","45.5",""
"Romano, Jordan","605447","45.8","","","54.2","","","","","",""
"Burke, Brock","656271","64.4","5.6","","18.8","11.2","","","","",""
"Peguero, Elvis","665625","","49.1","","50.9","","","","","",""
"Woodford, Jake","663765","6.2","50.8","5.6","1.0","4.1","10.1","","","22.2",""
"Adam, Jason","592094","33.4","","","1.3","35.2","","","","30.0",""
"Blanco, Ronel","669854","40.2","","","48.6","9.0","2.2","","","",""
"Brasier, Ryan","518489","36.4","14.9","13.4","35.4","","","","","",""
"Thompson, Mason","666168","6.9","56.0","","28.5","0.2","8.4","","","",""
"Avila, Pedro","658648","30.4","23.0","","","25.6","20.1","","","0.9",""
"Marinaccio, Ron","676760","51.5","0.1","","","37.2","","","","11.2",""
"Silseth, Chase","681217","35.6","14.2","8.4","2.7","","2.4","16.7","","20.0",""
"Leone, Dominic","608678","37.5","1.1","31.5","29.9","","","","","",""
"Gallegos, Giovanny","606149","50.3","","","46.3","3.4","","","","",""
"Soriano, George","666277","40.4","","","","21.6","","","","37.9",""
"Nelson, Kyle","669459","33.1","","7.6","59.2","","","","","",""
"Peralta, Wandy","593974","4.2","38.5","","13.1","44.2","","","","",""
"Young, Alex","622065","3.6","36.1","","","35.9","24.3","","","",""
"Keller, Brad","641745","31.2","10.3","","23.9","12.3","19.7","","","2.5",""
"Pérez, Cionel","672335","26.5","37.1","","0.1","","6.5","","","","29.9"
"Iglesias, Raisel","628452","34.7","14.6","","15.4","35.3","","","","",""
"Murphy, Chris","669684","38.6","0.1","","31.6","6.3","18.3","","","5.1",""
"Hoffman, Jeff","656546","27.4","6.9","","47.9","","","17.8","","",""
"Priester, Quinn","682990","18.9","34.1","","23.3","10.6","13.0","","","",""
"Stanek, Ryne","592773","64.2","","","17.6","","","18.2","","",""
"Bernardino, Brennan","657514","0.2","55.7","","","1.4","42.7","","","",""
"Shuster, Jared","694363","43.9","0.2","","32.9","23.0","","","","",""
"Smith, Will","519293","38.9","","","50.2","2.9","8.0","","","",""
"Hernandez, Jose E.","669796","33.2","","","55.9","10.9","","","","",""
"Cueto, Johnny","456501","34.5","19.7","2.3","23.8","19.3","0.3","","","",""
"Domínguez, Seranthony","622554","38.4","29.9","","27.7","4.0","","","","",""
"Middleton, Keynan","641871","26.3","","","30.8","42.9","","","","",""
"Vesia, Alex","681911","67.9","0.2","","30.5","1.4","","","","",""
"Vasquez, Andrew","607755","7.3","4.3","","81.8","1.5","5.0","","","",""
"Hentges, Sam","656529","31.2","18.1","","14.7","","36.0","","","",""
"Davidson, Tucker","656353","35.2","2.0","","44.3","","","7.4","","11.1",""
"Lauer, Eric","641778","43.1","0.1","35.4","8.2","0.7","12.4","","","",""
"Cosgrove, Tom","676680","24.0","23.4","","","0.4","","","","52.2",""
"Loup, Aaron","571901","1.7","54.5","22.2","","17.6","4.1","","","",""
"Muñoz, Andrés","662253","32.3","19.1","","48.6","","","","","",""
